age,sex_male,marriage,income,hb_b_psu,hb_b_pse,hb_b_pbe,hb_b_pba,hb_b_se,hb_a_psu,hb_a_pse,hb_a_pbe,hb_a_pba,hb_a_se,afra1,afra2,be_01,be_02,be_03,be_04,be_05,be_06,be_07,be_08,be_09,be_10,be_11,be_12,be_13,be_14,be_15,be_16,be_17,be_18,be_19,be_20,fnp,ftv,fra,fws,fsm,fmp,confi_gov,confi_hos,confi_wor,confi_media,hmtime,fear_sum,be_sum,risk_sum,selfeff_sum,fear_mean,be_mean,risk_mean,selfeff_mean
2,0,1,5,1,1,1,2,1,1,2,1,1,2,2,2,3,3,2,3,3,2,3,3,3,2,0,1,2,2,2,2,2,2,2,2,4,2,1,1,1,4,0,1,2,2,1,4,44,5,6,2.0,2.0952380952380953,1.25,1.2
2,0,1,4,2,-1,2,1,2,-1,1,2,0,2,3,3,0,4,4,4,4,0,4,4,4,4,0,2,1,4,4,4,4,4,4,4,0,4,2,4,4,4,0,2,3,1,1,6,63,1,5,3.0,3.0,0.25,1.0
2,0,1,3,2,0,2,2,2,0,0,2,-2,2,3,3,3,4,3,4,4,0,4,4,4,0,0,0,2,2,4,4,0,4,4,2,0,4,3,4,4,4,0,1,2,3,2,6,52,2,4,3.0,2.4761904761904763,0.5,0.8
3,1,1,5,1,1,1,1,1,1,1,1,-1,1,1,3,4,4,4,4,4,0,4,4,4,4,1,4,1,4,4,2,1,4,1,4,0,4,2,4,3,0,0,0,0,1,3,4,62,4,3,2.0,2.9523809523809526,1.0,0.6
2,1,1,4,-2,0,-1,-2,1,-2,2,1,2,2,1,1,4,4,3,4,0,0,4,4,4,4,4,3,4,3,3,3,3,3,3,0,0,2,0,3,1,2,1,1,2,2,1,2,60,-2,4,1.0,2.857142857142857,-0.5,0.8
2,0,1,4,-1,0,2,-2,-2,0,-1,2,-2,-1,2,3,4,4,3,4,4,0,2,4,2,2,4,1,1,4,4,3,2,4,2,4,4,4,3,4,3,4,1,2,2,1,1,5,58,-2,-3,2.5,2.761904761904762,-0.5,-0.6
2,1,1,5,-2,-2,2,2,2,-2,1,1,-1,1,3,3,4,4,4,4,4,0,4,4,3,3,3,4,3,4,4,4,2,4,4,4,1,4,0,4,4,4,0,2,2,2,2,6,70,-5,2,3.0,3.3333333333333335,-1.25,0.4
3,1,1,3,2,1,2,2,2,2,2,2,-2,2,3,3,4,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,3,4,4,4,4,4,3,4,4,4,1,1,0,0,4,6,71,7,5,3.0,3.380952380952381,1.75,1.0
3,1,1,4,1,1,-2,0,-1,2,1,-2,1,1,3,3,4,3,4,3,3,0,4,2,2,3,1,3,2,4,4,4,3,3,4,3,4,2,4,4,2,1,0,1,1,2,2,6,59,5,0,3.0,2.8095238095238093,1.25,0.0
2,0,1,4,0,-2,2,0,2,1,1,2,-2,-1,0,0,4,4,4,4,4,0,2,4,2,4,4,2,4,4,4,1,0,4,4,4,2,1,2,2,4,1,0,3,3,3,1,0,63,0,-1,0.0,3.0,0.0,-0.2
2,0,1,4,0,1,2,-2,2,-2,-1,2,2,2,2,2,4,4,3,4,3,0,4,4,4,4,2,4,4,4,4,4,2,4,4,4,1,1,1,4,1,3,0,0,1,0,1,4,70,-2,9,2.0,3.3333333333333335,-0.5,1.8
2,1,1,3,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,2,1,1,2,1,1,1,0,0,0,0,2,3,2,2,1,1,13,-8,-6,0.5,0.6190476190476191,-2.0,-1.2
2,1,1,1,2,2,0,-1,2,1,2,1,1,2,2,3,4,4,4,4,4,0,4,4,4,4,4,3,3,4,4,4,4,4,4,4,2,1,0,4,3,3,0,2,3,0,2,5,74,7,7,2.5,3.5238095238095237,1.75,1.4
2,0,1,1,0,-1,-2,-1,-2,-1,2,2,-2,2,2,3,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,0,3,4,0,3,3,3,3,1,5,72,0,-5,2.5,3.4285714285714284,0.0,-1.0
2,1,1,3,0,-2,2,1,1,1,1,2,0,1,1,3,4,4,3,2,2,0,1,2,3,4,2,2,1,2,0,1,0,3,3,0,3,2,1,4,1,1,3,3,2,1,2,4,39,0,2,2.0,1.8571428571428572,0.0,0.4
2,0,1,4,0,0,1,0,1,0,0,1,1,1,0,1,3,4,4,4,4,0,4,3,3,1,1,3,1,2,4,4,4,4,2,3,0,3,0,4,4,0,0,1,1,1,1,1,58,0,4,0.5,2.761904761904762,0.0,0.8
3,0,2,4,2,0,2,2,2,2,0,0,0,0,3,3,3,1,1,1,1,0,2,1,1,1,1,2,1,4,1,2,2,1,1,1,0,0,0,4,0,4,1,1,1,1,1,6,28,4,4,3.0,1.3333333333333333,1.0,0.8
2,0,1,4,-1,-1,-2,-1,-1,-1,-1,-1,1,-1,1,3,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,4,4,3,4,4,4,0,0,0,0,1,4,37,-4,-4,2.0,1.7619047619047619,-1.0,-0.8
2,0,1,4,0,0,2,-1,2,0,2,2,0,2,1,1,3,4,3,4,4,0,3,4,4,4,1,3,3,3,4,4,4,4,4,2,3,4,2,3,1,3,0,1,3,2,2,2,65,2,6,1.0,3.0952380952380953,0.5,1.2
2,1,1,5,0,0,0,0,0,0,0,0,0,0,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,2,0,4,0,0,1,1,1,1,1,2,80,0,0,1.0,3.8095238095238093,0.0,0.0
3,1,3,5,1,0,2,0,1,0,0,2,1,1,0,2,4,4,3,2,4,0,2,4,4,4,0,0,2,2,4,2,3,4,4,4,2,2,3,4,0,2,1,1,3,1,2,2,56,1,5,1.0,2.6666666666666665,0.25,1.0
2,0,1,3,1,1,0,0,0,1,1,0,0,0,3,3,3,3,2,3,3,0,3,4,4,3,3,3,2,2,2,2,0,1,1,3,2,2,0,4,4,1,2,2,2,2,2,6,47,4,1,3.0,2.238095238095238,1.0,0.2
2,0,1,4,0,0,0,0,0,0,0,0,0,0,1,2,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,0,0,4,4,4,0,0,0,0,0,0,3,3,3,0,1,3,68,0,0,1.5,3.238095238095238,0.0,0.0
2,0,1,5,-1,-2,-2,-1,-1,-2,-2,-2,2,-2,1,2,4,4,2,4,4,2,0,1,1,0,0,2,1,1,2,0,0,1,1,1,4,4,3,4,4,4,0,2,2,1,2,3,31,-7,-5,1.5,1.4761904761904763,-1.75,-1.0
3,1,3,5,1,0,2,0,1,0,0,2,1,1,0,2,4,4,3,2,4,0,2,4,4,4,0,0,2,2,4,2,3,4,4,4,2,2,3,4,0,2,1,1,3,1,2,2,56,1,5,1.0,2.6666666666666665,0.25,1.0
2,0,1,4,0,0,1,0,0,2,2,0,-1,-1,3,3,1,3,3,4,4,4,4,2,1,3,0,3,1,4,1,1,0,2,0,4,2,2,0,2,2,1,0,1,1,0,2,6,45,4,-1,3.0,2.142857142857143,1.0,-0.2
2,0,1,4,0,0,2,-2,2,0,-1,2,1,2,2,3,4,4,3,4,4,2,2,2,4,4,4,4,2,2,4,2,0,0,4,4,4,4,3,4,3,4,0,0,1,0,2,5,59,-1,7,2.5,2.8095238095238093,-0.25,1.4
2,0,1,3,2,-1,1,-1,0,2,2,1,1,1,2,3,2,0,4,4,4,2,4,4,4,4,4,4,0,1,4,4,4,4,4,0,4,4,3,4,3,4,0,1,1,2,2,5,61,5,2,2.5,2.9047619047619047,1.25,0.4
2,0,1,4,0,0,1,2,1,0,1,1,-1,0,1,1,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,3,4,3,4,4,0,0,2,0,3,1,3,3,0,1,2,75,1,1,1.0,3.5714285714285716,0.25,0.2
2,0,1,4,1,1,1,1,1,-1,1,1,-1,1,2,2,2,4,3,3,4,0,4,3,4,4,4,4,3,3,4,3,2,4,4,2,0,3,2,4,4,3,0,2,3,2,2,4,64,2,3,2.0,3.0476190476190474,0.5,0.6
3,0,2,4,0,1,1,0,1,-2,-2,0,1,1,1,1,4,4,3,4,4,0,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,0,2,2,3,2,1,2,1,1,2,73,-3,5,1.0,3.4761904761904763,-0.75,1.0
2,1,2,4,1,0,1,1,1,1,1,1,-1,1,1,1,2,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,4,4,3,4,3,3,0,1,1,2,2,2,10,3,2,1.0,0.47619047619047616,0.75,0.4
2,1,1,1,2,-1,2,1,1,2,-1,1,0,1,0,0,4,2,1,1,3,3,1,2,4,4,0,4,4,4,2,2,0,0,0,4,0,4,0,3,3,0,3,3,3,3,1,0,45,2,3,0.0,2.142857142857143,0.5,0.6
2,0,1,4,-1,-1,1,-1,1,-1,-1,1,1,2,1,2,0,4,3,4,4,0,4,3,3,4,3,3,4,3,4,4,3,4,4,3,4,3,3,4,3,4,1,2,2,1,2,3,64,-4,4,1.5,3.0476190476190474,-1.0,0.8
2,0,1,4,0,0,1,1,1,1,-1,0,-1,-2,2,2,3,4,4,4,4,1,4,4,4,0,0,3,3,4,4,2,0,4,3,0,3,2,0,4,3,2,0,3,2,1,1,4,55,0,-1,2.0,2.619047619047619,0.0,-0.2
2,0,1,4,1,1,1,1,1,1,1,1,0,1,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,3,2,1,3,1,3,3,3,1,2,2,2,2,6,53,4,4,3.0,2.5238095238095237,1.0,0.8
2,0,1,4,-1,0,0,-1,0,-1,-1,1,0,-1,1,2,3,4,4,4,4,0,4,3,3,4,0,4,1,4,4,3,1,4,4,3,0,3,1,2,1,3,0,1,2,1,1,3,61,-3,-1,1.5,2.9047619047619047,-0.75,-0.2
2,0,1,4,-1,-1,2,-1,2,2,2,2,0,2,1,2,4,4,4,4,4,2,4,4,3,4,1,3,2,4,4,4,4,4,3,4,4,4,0,4,4,4,1,2,2,2,1,3,70,2,5,1.5,3.3333333333333335,0.5,1.0
2,1,1,3,-1,0,2,1,1,0,0,1,1,-1,1,2,3,3,3,3,3,0,4,3,3,0,0,2,2,4,4,2,1,1,0,2,3,3,0,3,2,0,0,0,1,2,1,3,43,-1,3,1.5,2.0476190476190474,-0.25,0.6
2,0,1,3,1,0,2,1,1,-1,0,1,-1,1,3,3,4,3,2,3,3,2,4,2,1,1,1,1,1,4,0,4,2,3,4,4,3,3,1,1,2,1,1,2,2,1,2,6,49,0,3,3.0,2.3333333333333335,0.0,0.6
2,1,1,3,-1,1,1,1,0,0,1,2,-2,-1,1,3,3,4,2,3,4,0,4,4,4,4,0,4,2,4,4,3,2,3,4,4,1,1,1,4,2,3,0,3,3,1,1,4,62,1,-1,2.0,2.9523809523809526,0.25,-0.2
2,0,1,1,0,1,2,-2,2,-2,-2,2,2,2,2,3,4,4,4,3,4,0,4,4,4,4,0,4,4,4,4,4,4,4,4,4,0,0,0,4,4,4,1,3,3,0,1,5,71,-3,9,2.5,3.380952380952381,-0.75,1.8
2,0,1,4,1,0,0,0,0,0,0,0,0,0,2,2,2,3,2,3,4,0,4,2,2,2,0,4,2,3,4,2,2,4,4,1,1,1,1,2,1,2,1,1,2,0,1,4,50,1,0,2.0,2.380952380952381,0.25,0.0
2,1,1,4,2,1,1,-1,1,1,1,1,-1,1,3,3,4,4,4,4,4,0,4,3,4,4,4,4,4,4,0,3,3,4,4,3,4,4,3,4,3,4,0,1,1,1,2,6,68,5,3,3.0,3.238095238095238,1.25,0.6
2,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0,4,4,0,0,0,0,2,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,25,0,0,0.0,1.1904761904761905,0.0,0.0
3,0,2,4,2,0,1,1,1,2,1,1,2,1,3,3,4,4,4,4,4,0,4,4,0,0,1,0,0,4,4,4,3,4,4,0,4,4,4,4,4,4,0,1,2,1,3,6,52,5,5,3.0,2.4761904761904763,1.25,1.0
3,0,2,4,1,1,1,0,1,-1,-1,1,1,1,2,3,4,4,2,4,4,0,4,4,4,4,0,3,3,4,4,4,2,3,4,4,3,4,3,4,4,4,1,2,2,2,2,5,65,0,5,2.5,3.0952380952380953,0.0,1.0
2,0,1,3,-1,-1,1,1,1,1,-1,1,-1,-2,1,1,2,2,2,2,2,0,2,2,2,2,0,0,0,2,0,2,0,2,2,0,4,4,4,4,4,4,1,1,1,1,2,2,26,-2,-2,1.0,1.2380952380952381,-0.5,-0.4
3,0,1,4,-2,2,2,-2,2,-2,-1,2,2,2,1,1,4,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,4,4,3,4,3,4,3,3,3,3,3,3,1,2,72,-3,10,1.0,3.4285714285714284,-0.75,2.0
