variable,mean,std,median,q025,q975
β_1,0.16331040522935872,0.010608825809357458,0.16341484607642234,0.14231261165587208,0.1837933505427844
β_2,0.352856590348813,0.01036381219570659,0.3529237704110101,0.33258763081056864,0.3730289902906748
β_interaction,0.05761977922786656,0.004034812649121724,0.05754546276232489,0.04979781191352259,0.06570428356541258
β_control[1],0.05235805527075619,0.010501230365827462,0.05235672127983592,0.031793308420869554,0.07270238240210572
β_control[2],-0.11625696454452372,0.01072327119487054,-0.11610682198070252,-0.13749182038710764,-0.09537235431553356
α,-0.00014415781358342636,0.01040016179142371,-4.733853225236031e-5,-0.02108928045209259,0.020363511531853413
σ,0.9076654364866698,0.007420680245921523,0.9076701124338173,0.8933123831674369,0.9222824134473601
