variable,mean,std,median,q05,q95
β_indep_med,0.010958924718776112,0.006832458596289311,0.011164291065620889,-0.00045290040284199333,0.02158761438582571
β_med_dep,0.1261165175088045,0.006364356883689575,0.1259597961677581,0.1157501107407431,0.13680161725514356
β_indep_dep,0.012196122028857349,0.006176383487021235,0.01206317845654873,0.002006552096556338,0.022603671842439256
β_control[1],0.04940541594537288,0.00585259542966955,0.04927222314515464,0.03997091480505967,0.058999650965441776
β_control[2],-0.14104354445197026,0.0059765557565073955,-0.14084045543198642,-0.15107688130464345,-0.13130658686598157
β_control[3],0.3156875163016188,0.006530546570811432,0.3156687862015623,0.30525270145905076,0.3265391310379314
α_med,0.002065926239916517,0.016784211798632785,0.000726814014318014,-0.02115554683103963,0.04076039172933303
α_dep,4.2895486628568904e-5,0.012260204349442028,-0.0005281006887688157,-0.017758713005755163,0.020497009715464524
α_med_j[1],-0.0035731706558971552,0.01690035961218618,-0.0009325107352990478,-0.04073941431843238,0.02048137836323779
α_med_j[2],-0.0006501770651629321,0.017108666005947754,0.00010676767268314477,-0.03777939912676421,0.025514932937137164
α_med_j[3],-0.0017727299441850192,0.01666629760460266,-0.0002161446455708029,-0.03355133984985645,0.023950859002221905
α_dep_j[1],-0.002399744833147131,0.012560592782565834,-0.0008461186286182571,-0.024472570283838996,0.01601810285813983
α_dep_j[2],0.0013449248097969569,0.012454632549526097,0.0007435097868031515,-0.018108166798607103,0.02187800657303268
α_dep_j[3],0.00012552810643266072,0.012267791107838075,3.292259450878249e-5,-0.019450254590877857,0.019032831724999946
τ_med,0.026495834961757857,0.039941470621344,0.0117749320174761,0.0009168908816015206,0.11648471178444852
τ_dep,0.017385511436369447,0.02114448990989135,0.010781443507429177,0.0009316867128923761,0.0596974342507181
σ_dep,0.9141850517620536,0.004395822663894741,0.9141844529436063,0.906997246582396,0.9210471611089233
σ_med,1.0002087634903332,0.0045836155661594935,1.000237792689865,0.9926649146961843,1.0076138280537883
direct,0.012196122028857349,0.006176383487021235,0.01206317845654873,0.002006552096556338,0.022603671842439256
indirect,0.001380414968726733,0.0008636730147963396,0.0014064713910785904,-5.638733370762722e-5,0.002740422273345123
total,0.013576536997584078,0.006176373886337501,0.013576782342490587,0.0033528282125351826,0.023934426467356964
