variable,mean,std,median,q025,q975
β_1,0.14223181341428573,0.010578278658854658,0.1420801824716113,0.1217999399895153,0.1628204209740417
β_2,0.3760301992391318,0.010491561299309294,0.3761371354073657,0.3555056739937965,0.39680458038000754
β_interaction,-0.06488989902015854,0.009755900539216017,-0.06490436815641931,-0.08388143778129196,-0.04576673715031993
β_control[1],0.06612733675817262,0.010348039048578707,0.06599520665074299,0.04590441956744852,0.08617883988089824
β_control[2],-0.11825027136780587,0.010487320133191676,-0.11828393311183025,-0.13904646274837282,-0.09766297292787884
α,0.0058130565961983394,0.010501120849230453,0.00571403516488777,-0.014758168507228381,0.026240524221552767
σ,0.8960847429813673,0.007336443373670659,0.8960166214111254,0.8818455239338944,0.9103285550731818
