variable,mean,std,median,q025,q975
β_1,0.06707087860772494,0.010477930481184238,0.06695839773065348,0.04639911646229089,0.08738596397537213
β_2,0.3863909435821361,0.010399072483196681,0.3863487716253343,0.3659547588990762,0.406570746167055
β_interaction,0.022160693129787554,0.009650351872959113,0.02215070289439561,0.0035774368505551743,0.04165592091690499
β_control[1],0.051788480063789936,0.01068205901945578,0.051789964253210426,0.031016484616832353,0.07267026019977996
β_control[2],-0.14590042104036047,0.010495506281336392,-0.14587381685334422,-0.1666438242272585,-0.1246453705387584
α,-0.0009305376875317731,0.010340637923013752,-0.0009876720888724352,-0.020907632660758967,0.019326902785682047
σ,0.9074037536322708,0.007410081115738012,0.9072475345339013,0.8928969392426238,0.922152324682066
